Candidato - nome de urna,Part./Colig.,Votos,% (*)
DR NILTON,PSD,4963,"0,42"
DR VICENTE AMORIM,PSL,278,"0,02"
DR. ANA PAULA TUPI B/MIRANTE,PDT,107,"0,01"
DR. CêLIO ANTUNES,CIDADANIA,452,"0,04"
DR. CELIO FR‡IS,CIDADANIA,5775,"0,49"
DR. EDSON MOREIRA,CIDADANIA,496,"0,04"
DR. FARAH,PSB,1501,"0,13"
DR. GUSTAVO MOUR«O,REDE,312,"0,03"
DR. JORGE PARREIRA,PDT,293,"0,03"
DR. OLAVO,PMN,1006,"0,09"
DRA ANA CARMEN,NOVO,1976,"0,17"
DRA FERNANDA FIUZA,PSL,673,"0,06"
DRA MICHELLY SIQUEIRA,PP,3114,"0,27"
DRA SANDRA,PC do B,406,"0,03"
DRI,PSC,40,0
DÈ PENTE,PSOL,982,"0,08"
DÈ SOARES,PROS,1803,"0,15"
DUCARMO DA COSTURA,DEM,152,"0,01"
DUDA ABREU,PSDB,3423,"0,29"
DUDA CRIS,PATRIOTA,453,"0,04"
DUDU DO SAL«O,AVANTE,841,"0,07"
DUDU DOS ABRIGOS,PV,1065,"0,09"
DULCE TEOFILO,PATRIOTA,14,0
ED MARTE,PSOL,520,"0,04"
EDERSON MEL«O,PC do B,227,"0,02"
EDGAR,PSDB,362,"0,03"
ED÷DACIO MEDEIRO,PC do B,89,"0,01"
EDILSON MARTINS,PP,1215,"0,1"
EDIMAR XAVIER,PSL,38,0
EDIMILSON ITA,PC do B,361,"0,03"
EDINA BARBOSA,PSD,710,"0,06"
EDINHO RIBEIRO,PP,1132,"0,1"
EDISANTOS DO V3,PSD,59,"0,01"
EDIVALDO BARBOSA - EDITUDO,CIDADANIA,120,"0,01"
EDIVALDO TATµ,PP,229,"0,02"
EDMAR BRANCO,PSB,8103,"0,69"
EDMAR JUNIOR,DEM,211,"0,02"
EDMAR NUNES,PSL,249,"0,02"
EDMILSON DA MARINHA MERCANTE,PODE,15,0
EDMILSON DA ONG FIO DE LUZ,PODE,716,"0,06"
EDMILSON FIII,SOLIDARIEDADE,1413,"0,12"
EDMUNDO CHOCOLATE,AVANTE,180,"0,02"
EDNA DA IZIDORA,UP,381,"0,03"
EDNA GONÄALVES,CIDADANIA,696,"0,06"
EDNA MOVIMENTA,PMN,235,"0,02"
EDSON ATIVISTA,PROS,35,0
EDSON CRUZ,PODE,258,"0,02"
EDSON PROFETA,PTC,271,"0,02"
EDSON SANTOS PHOENIX,PP,548,"0,05"
EDSON SOUZA,PL,182,"0,02"
EDU MAYER,CIDADANIA,687,"0,06"
EDUARDO ALMEIDA,UP,34,0
EDUARDO APLICATIVOS,PATRIOTA,48,0
EDUARDO BESSA,PP,1870,"0,16"
EDUARDO BOLINA DA CNI,REDE,1462,"0,13"
EDUARDO CALDEIRA ,PDT,933,"0,08"
EDUARDO COSSO DADINHO,PROS,1765,"0,15"
EDUARDO DA AMBUL∂NCIA,PSC,3093,"0,26"
EDUARDO GUERRA,DEM,234,"0,02"
EDUARDO KALIL,PL,355,"0,03"
EDUARDO MAGNO,PSL,274,"0,02"
EDUARDO NOVAIS,PT,920,"0,08"
EDUARDO OTONI,SOLIDARIEDADE,726,"0,06"
EDUARDO PALMEIRA,REPUBLICANOS,82,"0,01"
EDUARDO PIMENTA,SOLIDARIEDADE,435,"0,04"
ELAINE BRANCO,PROS,8,0
ELAINE LEITE,AVANTE,40,0
ELCIO DO CHALê DA COSTELA,PSD,488,"0,04"
ELCIO JUNIOR,PTC,372,"0,03"
ELDICE DOS SANTOS,PRTB,51,0
ELENA LAIA,PATRIOTA,69,"0,01"
ELENICE DA SAÈDE,CIDADANIA,14,0
ELI PINHEIRO,PROS,70,"0,01"
ELIANA GONÄALVES,PROS,264,"0,02"
